리뷰자,type1,type2,type3,type4,랭킹
NGhxcTRoWldGcEFkZEROQWpnZG9MQT09,지성,-,모공,,0
bGMzdlRXZFVFUGJzaEVuN3pWMnZGZz09,복합성,웜톤,각질,민감성,0
WEF1TDhUaWdWNUVFdG1kZ2VYRUtjUT09,복합성,웜톤,각질,모공,0
ZUEwY1Vpa3RISXg2bXRwTDh6TjN1QT09,건성,겨울쿨톤,각질,탄력,0
MTloSDlkMU5oY0RWNVRmMHh2Tm1FQT09,지성,웜톤,블랙헤드,잡티,0
Mmo3c1NSR1drTXRtU1g5UDBoMDBLQT09,복합성,겨울쿨톤,각질,모공,1393
RUlBTVpJSEJMcEFRS0dVd1JoY2ZpQT09,복합성,웜톤,모공,,0
cjNWOG9hOUFUM2U1cXVnWnpuUHpiZz09,복합성,웜톤,모공,잡티,0
UndxajRVcEdEU3JtZTdSVTZ6WGw4QT09,복합성,쿨톤,모공,블랙헤드,0
WVZKZnBZUXRUMEdiZ1lHaDFMakd3dz09,복합성,웜톤,민감성,,0
MUYzMjZxZ0pZdVU3OGhzbHNPK0NIdz09,건성,쿨톤,각질,모공,0
MExyR1hydUpVT29lYzhLOXZMWGdYUT09,건성,쿨톤,모공,미백,0
Q2NaSDRVNWF4ZHF2cFlyS09XZ3llQT09,-,-,,,0
WGNoZnN4QUZrYVR0TnljSmYxV3pFUT09,-,-,,,0
THA2aThWbUJMM0srY0ZiZHJnZC81Zz09,복합성,웜톤,모공,블랙헤드,0
ODVwaG85L3lyTGxzZGNWZmp6ODFYQT09,복합성,웜톤,잡티,,0
YStHMGZFV0dvOXo1Mk1RT0hUL0w5dz09,지성,웜톤,블랙헤드,피지과다,731
SXg1NzNzekJnWTBiTjFSRk5hUXRjZz09,지성,봄웜톤,미백,주름,0
UVM4d0lBRFFCZ3ljLzNhUTJBS2JHQT09,복합성,쿨톤,블랙헤드,,0
YUl3T3FYMXkrVkU3NFpaTTN1Z0pjUT09,건성,여름쿨톤,각질,모공,1097
dnBQYzNGKzZIVVF6SEFtbG56aVRNUT09,-,-,,,0
OWY4VzdBSVZkc3NJSVZPR2J0NDREZz09,복합성,겨울쿨톤,각질,모공,0
OVZkWWJLdDRYQU1aNEdGVmM1aFhuUT09,건성,가을웜톤,다크서클,모공,0
M2pabDFicEsyVS9Za2FQRTlGSmtnUT09,복합성,쿨톤,미백,잡티,492
R0NkbWcwSS9URHNZVExLVHJvdCt5UT09,민감성,봄웜톤,각질,다크서클,0
Mkd6UDBJYWRqVHhMWWNmOFYzYVB4QT09,복합성,쿨톤,모공,블랙헤드,0
d2Z0d094M0ZUMDkxNDlUWS9ZT3h4UT09,복합성,웜톤,미백,,0
dkEyZmpoS3VSRnlubU5qd3NyWHpIdz09,건성,웜톤,잡티,주름,0
dGZ3WTVQaUsvQjFDL21JemRDc1FQZz09,복합성,-,블랙헤드,,0
dlNoV01VOUxram5wMEFYajhrT09UUT09,-,-,,,0
emNWYnVoZTZsNzFLbmxFbEtuMzdrdz09,복합성,웜톤,각질,모공,0
WkMzY0VjTHE1QVZqOUlZSTM2emI1UT09,-,-,,,0
aXg1WElzNllPdEJyZSt6V0NUejVPQT09,복합성,-,미백,,0
d2lnajU1Z2JrNk9vRGY3ZmVXV3Vxdz09,복합성,웜톤,아토피,,0
MWhwSGMvT2ZJbXBxdjdWenphM1hWZz09,지성,웜톤,피지과다,,0
bDNSYjBRdGNoNnZpYWRUaDA5Z05wZz09,복합성,웜톤,미백,잡티,0
SGhWK3R5eGtzRkNBODVLWnc5bVFKUT09,건성,웜톤,다크서클,잡티,433
QXdOclhwVWUyTXBOZEN6Q3ZVaDJoUT09,복합성,여름쿨톤,모공,미백,150
emdFUHJDbjE1NmxnYVJIeEdYc0lvdz09,복합성,웜톤,모공,미백,1724
Szl5WUhzVEd5bElXc3VGL2pvRkkvUT09,복합성,가을웜톤,다크서클,모공,0
VFFjb1ZEVE1SZVRVYUtaVkNLRGZBUT09,-,-,,,0
L0JRUFJLME5na0tlOU8wOHdXNzhDQT09,복합성,봄웜톤,모공,미백,0
TGpGcGdhM3Q5cGxLdnFzaVcvaXdrZz09,복합성,웜톤,모공,미백,0
eGdFNjhlUFVXTkxoK1krUy9zMEV0QT09,-,-,,,0
TDFjT3lpcFdjcGV4N2tzSElLTWRNZz09,지성,웜톤,모공,민감성,803
SzZ4QkZaeUVtYm5aV0k1c3FNZFhLUT09,민감성,여름쿨톤,다크서클,민감성,1581
UkpnaXZacUZZV1BqSlBoczhSVENZUT09,건성,웜톤,다크서클,민감성,0
ZUFrM09ZM2dOMHlKaEdXYmhzNkthdz09,건성,봄웜톤,다크서클,모공,0
Z01yRUVWNHhOQkYvcUY0b3U5RjR6UT09,복합성,웜톤,각질,다크서클,0
S1NlSUxaMzFlVGpSRjZsdFpKOTh3Zz09,트러블성,봄웜톤,모공,블랙헤드,0
aVNxalVBRUdXaVl6bCtsZmNJbzd1UT09,민감성,봄웜톤,민감성,잡티,0
NldPSWJkUlIyNlJjM2ZCeW1tZmd3UT09,-,-,,,0
aE9PTkppT0VURXNPbkZwR2dFMmV3QT09,-,-,,,0
SmtLMEluUXhlRjRRN2FmMWpCMGVrUT09,-,-,,,0
czAvRmF6cnpOcWZseVVSS0hPZlExdz09,민감성,여름쿨톤,민감성,블랙헤드,0
akNRKy83c282NHExNzhLMlYrL2x0QT09,복합성,웜톤,각질,미백,0
VGRaYWd1ejUzV1hGUk9KeDMrdzdWUT09,복합성,여름쿨톤,모공,민감성,0
MU1UOTE2WlZFU0lpdW5RQUxkUm9SQT09,복합성,쿨톤,각질,잡티,0
Uy9WSXdxOUh4YUJ5V0l3di9adm04dz09,트러블성,웜톤,미백,잡티,0
